,train,test
0.1,0.011366500000000057,0.1992370000000001
0.2,0.01997850000000012,0.25335450000000015
0.3,0.022605000000000208,0.23635249999999997
0.4,0.024075499999999916,0.20726650000000024
0.5,0.027356500000000228,0.18797499999999978
0.6,0.028499999999999748,0.14924250000000017
0.7,0.045253499999999836,0.11899049999999978
0.8,0.047580500000000026,0.08475799999999989
0.9,0.04641399999999951,0.043543499999999735
