,train,test
0.1,0.003842499999999971,0.0007039999999998159
0.2,0.003834000000000115,0.0006465000000002163
0.3,0.004037000000000068,0.0006635000000001501
0.4,0.004289500000000057,0.0006340000000000234
0.5,0.004565999999999848,0.0006250000000000977
0.6,0.004758000000000262,0.0006269999999999332
0.7,0.005017499999999897,0.0006254999999999455
0.8,0.005448499999999967,0.0005654999999999966
0.9,0.005387000000000031,0.0005325000000000468
