mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_MLP__activation,param_MLP__alpha,param_MLP__hidden_layer_sizes,param_MLP__learning_rate_init,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.0663649559020996,0.011907794193080329,0.002852201461791992,0.00026595303424031916,relu,1e-06,"(50,)",0.001,"{'MLP__activation': 'relu', 'MLP__alpha': 1e-06, 'MLP__hidden_layer_sizes': (50,), 'MLP__learning_rate_init': 0.001}",0.0,0.0,0.0,0.05333333329493333,0.02040816324531445,0.014748299308049556,0.02084886522090242,35
0.09311623573303222,0.016608220288773266,0.0025259017944335937,0.0002178136917556685,relu,1e-06,"(50,)",0.005,"{'MLP__activation': 'relu', 'MLP__alpha': 1e-06, 'MLP__hidden_layer_sizes': (50,), 'MLP__learning_rate_init': 0.005}",0.24691358014814818,0.323886639554492,0.2819383258732752,0.1509433961409754,0.22222222212345677,0.24518083276806948,0.0582348898849145,6
0.15375561714172364,0.0318233765956412,0.0034587860107421877,0.0004586176407010557,relu,1e-06,"(50, 100, 50)",0.001,"{'MLP__activation': 'relu', 'MLP__alpha': 1e-06, 'MLP__hidden_layer_sizes': (50, 100, 50), 'MLP__learning_rate_init': 0.001}",0.10666666662826667,0.24896265549580757,0.1523809523187301,0.15384615377514793,0.0410256410104931,0.14057641384568906,0.06800476135364221,21
0.15043268203735352,0.030479320503691686,0.0036097049713134767,0.0005347233565251306,relu,1e-06,"(50, 100, 50)",0.005,"{'MLP__activation': 'relu', 'MLP__alpha': 1e-06, 'MLP__hidden_layer_sizes': (50, 100, 50), 'MLP__learning_rate_init': 0.005}",0.0723981900231363,0.17777777772333828,0.2046511627101352,0.20253164548886396,0.0,0.13147175518909474,0.08163760154659815,27
0.07020268440246583,0.011916653027039053,0.003043508529663086,0.00033633247138276453,relu,1e-07,"(50,)",0.001,"{'MLP__activation': 'relu', 'MLP__alpha': 1e-07, 'MLP__hidden_layer_sizes': (50,), 'MLP__learning_rate_init': 0.001}",0.0,0.0,0.0,0.05333333329493333,0.02040816324531445,0.014748299308049556,0.02084886522090242,35
0.08938336372375488,0.017534335750860854,0.002703142166137695,0.00033988594739380414,relu,1e-07,"(50,)",0.005,"{'MLP__activation': 'relu', 'MLP__alpha': 1e-07, 'MLP__hidden_layer_sizes': (50,), 'MLP__learning_rate_init': 0.005}",0.24691358014814818,0.323886639554492,0.2819383258732752,0.1509433961409754,0.22222222212345677,0.24518083276806948,0.0582348898849145,6
0.17366609573364258,0.027727685375543657,0.0034485340118408205,0.0003942691184650887,relu,1e-07,"(50, 100, 50)",0.001,"{'MLP__activation': 'relu', 'MLP__alpha': 1e-07, 'MLP__hidden_layer_sizes': (50, 100, 50), 'MLP__learning_rate_init': 0.001}",0.10666666662826667,0.24896265549580757,0.1523809523187301,0.15384615377514793,0.0410256410104931,0.14057641384568906,0.06800476135364221,21
0.14441094398498536,0.01602624195010176,0.00339360237121582,0.00035392508189280894,relu,1e-07,"(50, 100, 50)",0.005,"{'MLP__activation': 'relu', 'MLP__alpha': 1e-07, 'MLP__hidden_layer_sizes': (50, 100, 50), 'MLP__learning_rate_init': 0.005}",0.0723981900231363,0.17777777772333828,0.2046511627101352,0.20253164548886396,0.0,0.13147175518909474,0.08163760154659815,27
0.06822433471679687,0.01781956075220184,0.003167867660522461,0.0003927434162880938,relu,1e-08,"(50,)",0.001,"{'MLP__activation': 'relu', 'MLP__alpha': 1e-08, 'MLP__hidden_layer_sizes': (50,), 'MLP__learning_rate_init': 0.001}",0.0,0.0,0.0,0.05333333329493333,0.02040816324531445,0.014748299308049556,0.02084886522090242,35
0.08836941719055176,0.017831647616901376,0.0024353981018066405,0.00020744687537019196,relu,1e-08,"(50,)",0.005,"{'MLP__activation': 'relu', 'MLP__alpha': 1e-08, 'MLP__hidden_layer_sizes': (50,), 'MLP__learning_rate_init': 0.005}",0.24691358014814818,0.323886639554492,0.2819383258732752,0.1509433961409754,0.22222222212345677,0.24518083276806948,0.0582348898849145,6
0.14421873092651366,0.029752860563820892,0.0031177520751953123,0.00047188007069821143,relu,1e-08,"(50, 100, 50)",0.001,"{'MLP__activation': 'relu', 'MLP__alpha': 1e-08, 'MLP__hidden_layer_sizes': (50, 100, 50), 'MLP__learning_rate_init': 0.001}",0.10666666662826667,0.24896265549580757,0.1523809523187301,0.15384615377514793,0.0410256410104931,0.14057641384568906,0.06800476135364221,21
0.1253274440765381,0.016352995438414886,0.0030916213989257814,0.00017267888559079934,relu,1e-08,"(50, 100, 50)",0.005,"{'MLP__activation': 'relu', 'MLP__alpha': 1e-08, 'MLP__hidden_layer_sizes': (50, 100, 50), 'MLP__learning_rate_init': 0.005}",0.0723981900231363,0.17777777772333828,0.2046511627101352,0.20253164548886396,0.0,0.13147175518909474,0.08163760154659815,27
0.05870165824890137,0.01400029951600569,0.002626657485961914,0.00027593075313333973,relu,1e-09,"(50,)",0.001,"{'MLP__activation': 'relu', 'MLP__alpha': 1e-09, 'MLP__hidden_layer_sizes': (50,), 'MLP__learning_rate_init': 0.001}",0.0,0.0,0.0,0.05333333329493333,0.02040816324531445,0.014748299308049556,0.02084886522090242,35
0.09953627586364747,0.024739072029730018,0.002823019027709961,0.0003211800243166935,relu,1e-09,"(50,)",0.005,"{'MLP__activation': 'relu', 'MLP__alpha': 1e-09, 'MLP__hidden_layer_sizes': (50,), 'MLP__learning_rate_init': 0.005}",0.24691358014814818,0.323886639554492,0.2819383258732752,0.1509433961409754,0.22222222212345677,0.24518083276806948,0.0582348898849145,6
0.1544290542602539,0.03958296457619103,0.0030191421508789064,0.00037658056906079973,relu,1e-09,"(50, 100, 50)",0.001,"{'MLP__activation': 'relu', 'MLP__alpha': 1e-09, 'MLP__hidden_layer_sizes': (50, 100, 50), 'MLP__learning_rate_init': 0.001}",0.10666666662826667,0.24896265549580757,0.1523809523187301,0.15384615377514793,0.0410256410104931,0.14057641384568906,0.06800476135364221,21
0.11871652603149414,0.01845735502527213,0.0025044918060302735,0.0004005853483199315,relu,1e-09,"(50, 100, 50)",0.005,"{'MLP__activation': 'relu', 'MLP__alpha': 1e-09, 'MLP__hidden_layer_sizes': (50, 100, 50), 'MLP__learning_rate_init': 0.005}",0.0723981900231363,0.17777777772333828,0.2046511627101352,0.20253164548886396,0.0,0.13147175518909474,0.08163760154659815,27
