mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_KNN__metric,param_KNN__n_neighbors,param_KNN__weights,param_pca__n_components,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.007419300079345703,0.0004709729663600335,0.013177967071533203,0.0010581346023642003,manhattan,10,uniform,15,"{'KNN__metric': 'manhattan', 'KNN__n_neighbors': 10, 'KNN__weights': 'uniform', 'pca__n_components': 15}",0.1505376343211932,0.10909090903933884,0.1730769230225592,0.10309278345626527,0.14545454538710745,0.1362505590452928,0.02638976937665005,2
0.00900096893310547,0.0002762540098440239,0.015504169464111327,0.000671933324831376,manhattan,10,uniform,20,"{'KNN__metric': 'manhattan', 'KNN__n_neighbors': 10, 'KNN__weights': 'uniform', 'pca__n_components': 20}",0.17297297288952518,0.10859728501250998,0.1365853658116835,0.10256410251087442,0.16363636356892564,0.13687121795870374,0.02827077959543379,1
0.007403278350830078,0.00029657157595716323,0.013288354873657227,0.00069393195338436,manhattan,20,uniform,15,"{'KNN__metric': 'manhattan', 'KNN__n_neighbors': 20, 'KNN__weights': 'uniform', 'pca__n_components': 15}",0.1348314606211337,0.09090909085752065,0.059999999980399996,0.10362694296072376,0.11111111105864196,0.10009572109568401,0.02462698102148709,14
0.00787181854248047,0.00021708837893544066,0.01341562271118164,0.0006299154112675533,manhattan,20,uniform,20,"{'KNN__metric': 'manhattan', 'KNN__n_neighbors': 20, 'KNN__weights': 'uniform', 'pca__n_components': 20}",0.13407821223282668,0.10810810804902199,0.09852216745439103,0.10362694296072376,0.09345794388068826,0.10755867491553035,0.014138849566130077,13
0.006783819198608399,0.00021388698561701668,0.013516902923583984,0.0005648281965873137,manhattan,30,uniform,15,"{'KNN__metric': 'manhattan', 'KNN__n_neighbors': 30, 'KNN__weights': 'uniform', 'pca__n_components': 15}",0.09142857139017141,0.07407407403840878,0.060301507522840324,0.12244897953436067,0.019323671483301826,0.0735153607938166,0.03413807090624254,18
0.007445573806762695,0.0002094562784346938,0.014523029327392578,0.0005743196656580648,manhattan,30,uniform,20,"{'KNN__metric': 'manhattan', 'KNN__n_neighbors': 30, 'KNN__weights': 'uniform', 'pca__n_components': 20}",0.09090909086570247,0.037383177542842164,0.059999999980399996,0.14285714279966683,0.03827751193837137,0.07388538462539657,0.03959809496866947,17
0.007558441162109375,0.0007635212200089174,0.012087535858154298,0.000586348146967225,euclidean,10,uniform,15,"{'KNN__metric': 'euclidean', 'KNN__n_neighbors': 10, 'KNN__weights': 'uniform', 'pca__n_components': 15}",0.10869565209451795,0.12556053805385187,0.09756097556778108,0.10204081626905455,0.10958904103208855,0.1086894046034588,0.009523551735338295,11
0.007738924026489258,0.00028782775642846185,0.011703872680664062,0.00044595917288131593,euclidean,10,uniform,20,"{'KNN__metric': 'euclidean', 'KNN__n_neighbors': 10, 'KNN__weights': 'uniform', 'pca__n_components': 20}",0.13043478252930055,0.12556053805385187,0.0970873785945895,0.10256410251087442,0.10958904103208855,0.11304716854414099,0.012926575348209781,8
0.006951236724853515,0.00035732140443613775,0.011447429656982422,0.0002723867730726366,euclidean,20,uniform,15,"{'KNN__metric': 'euclidean', 'KNN__n_neighbors': 20, 'KNN__weights': 'uniform', 'pca__n_components': 15}",0.11299435023422387,0.14285714279081635,0.07881773395685407,0.10152284257795871,0.11111111105864196,0.10946063612369898,0.020652040480660678,10
0.007538461685180664,0.00021843496454863106,0.011676359176635741,0.0002770448674732895,euclidean,20,uniform,20,"{'KNN__metric': 'euclidean', 'KNN__n_neighbors': 20, 'KNN__weights': 'uniform', 'pca__n_components': 20}",0.1348314606211337,0.14285714279081635,0.07881773395685407,0.12121212114641362,0.11111111105864196,0.11776591391477194,0.022333500031427183,7
0.006939411163330078,0.00022314868393999952,0.011784172058105469,0.00099159917499284,euclidean,30,uniform,15,"{'KNN__metric': 'euclidean', 'KNN__n_neighbors': 30, 'KNN__weights': 'uniform', 'pca__n_components': 15}",0.13407821223282668,0.12962962959396432,0.03999999998039999,0.16161616155045402,0.09389671357455531,0.11184414338644007,0.04188465663658474,9
0.0077342033386230465,0.0005564031872613921,0.012355232238769531,0.0006652486869023448,euclidean,30,uniform,20,"{'KNN__metric': 'euclidean', 'KNN__n_neighbors': 30, 'KNN__weights': 'uniform', 'pca__n_components': 20}",0.13407821223282668,0.11162790694524607,0.03999999998039999,0.16161616155045402,0.09389671357455531,0.10824379885669641,0.040964699785838055,12
0.006968021392822266,0.0006170668029215688,0.011552715301513672,0.00031986898365351255,chebyshev,10,uniform,15,"{'KNN__metric': 'chebyshev', 'KNN__n_neighbors': 10, 'KNN__weights': 'uniform', 'pca__n_components': 15}",0.15217391296408314,0.14285714279081635,0.11650485432274482,0.08333333329340277,0.11059907828469492,0.1210936643311484,0.024481286581424802,5
0.007292413711547851,0.0004898011916163189,0.011415815353393555,0.0007117939877647695,chebyshev,10,uniform,20,"{'KNN__metric': 'chebyshev', 'KNN__n_neighbors': 10, 'KNN__weights': 'uniform', 'pca__n_components': 20}",0.15217391296408314,0.14285714279081635,0.11650485432274482,0.08333333329340277,0.11059907828469492,0.1210936643311484,0.024481286581424802,5
0.006618404388427734,0.0003246176464319168,0.01203775405883789,0.0004960361881167946,chebyshev,20,uniform,15,"{'KNN__metric': 'chebyshev', 'KNN__n_neighbors': 20, 'KNN__weights': 'uniform', 'pca__n_components': 15}",0.11299435023422387,0.1614349775157353,0.13526570043277555,0.12121212114641362,0.1467889907655921,0.1355392280189481,0.017382516082901853,3
